date,norad,alt
2026-07-02,47752,342.9
2026-07-03,47752,342.5
2026-07-02,47762,345.6
2026-07-03,47762,344.9
2026-07-02,47767,368.4
2026-07-03,47767,366.4
2026-07-02,47776,339.2
2026-07-03,47776,338.7
2026-07-02,47778,415.8
2026-07-03,47778,415.8
2026-07-02,47788,449.0
2026-07-03,47788,448.9
2026-07-02,47862,358.6
2026-07-03,47862,357.1
2026-07-02,47874,455.8
2026-07-03,47874,455.5
2026-07-02,47879,349.8
2026-07-03,47879,349.1
2026-07-02,47883,318.7
2026-07-03,47883,318.2
2026-07-02,47901,452.4
2026-07-03,47901,452.3
2026-07-02,47903,250.8
2026-07-03,47903,246.7
2026-07-02,47993,362.3
2026-07-03,47993,362.6
2026-07-02,48000,442.8
2026-07-03,48000,442.8
2026-07-02,48022,405.3
2026-07-03,48022,403.7
2026-07-02,48023,437.3
2026-07-03,48023,437.1
2026-07-02,48029,341.6
2026-07-03,48029,341.3
2026-07-02,48111,443.1
2026-07-03,48111,442.8
2026-07-02,48120,443.1
2026-07-03,48120,443.1
2026-07-02,48143,450.1
2026-07-03,48143,449.7
2026-07-02,48376,364.9
2026-07-03,48376,364.8
2026-07-02,48442,432.9
2026-07-03,48442,432.9
2026-07-02,48460,322.4
2026-07-03,48460,322.1
2026-07-02,48465,350.9
2026-07-03,48465,350.4
2026-07-02,48562,366.7
2026-07-03,48562,366.6
2026-07-02,48582,440.7
2026-07-03,48582,440.1
2026-07-02,48652,338.6
2026-07-03,48652,338.4
2026-07-02,49139,515.8
2026-07-03,49139,515.1
2026-07-02,49158,337.2
2026-07-03,49158,337.1
2026-07-02,49176,515.8
2026-07-03,49176,513.6
2026-07-02,49410,501.2
2026-07-03,49410,499.0
2026-07-03,49421,509.0
2026-07-02,49422,544.0
2026-07-03,49422,539.7
2026-07-02,49425,504.8
2026-07-03,49425,502.5
2026-07-02,49427,504.4
2026-07-03,49427,502.0
2026-07-02,49430,544.2
2026-07-03,49430,539.2
2026-07-02,49449,419.0
2026-07-03,49449,418.5
2026-07-02,49724,482.6
2026-07-03,49724,478.1
2026-07-02,49727,520.5
2026-07-03,49727,517.7
2026-07-02,49728,504.5
2026-07-03,49728,502.2
2026-07-02,49729,532.9
2026-07-03,49729,530.5
2026-07-02,49730,511.0
2026-07-03,49730,510.5
2026-07-02,49732,523.3
2026-07-03,49732,521.0
2026-07-02,49733,531.2
2026-07-03,49733,528.9
2026-07-02,49735,511.2
2026-07-03,49735,508.9
2026-07-02,49740,481.3
2026-07-03,49740,478.3
2026-07-02,49743,485.3
2026-07-03,49743,483.1
2026-07-02,49752,501.1
2026-07-03,49752,499.3
2026-07-02,49754,505.7
2026-07-03,49754,504.2
2026-07-02,49756,508.1
2026-07-03,49756,505.9
2026-07-02,49757,503.8
2026-07-03,49757,502.2
2026-07-02,49758,502.9
2026-07-03,49758,502.9
2026-07-02,49759,505.9
2026-07-03,49759,504.7
2026-07-02,49760,508.4
2026-07-03,49760,506.0
2026-07-03,49761,503.1
2026-07-02,49762,501.2
2026-07-03,49762,499.3
2026-07-02,49766,513.4
2026-07-03,49766,512.4
2026-07-02,49767,507.5
2026-07-03,49767,505.4
2026-07-02,49768,506.0
2026-07-03,49768,503.9
2026-07-02,49771,508.6
2026-07-03,49771,507.3
2026-07-02,50161,543.3
2026-07-03,50161,539.4
2026-07-02,50163,395.7
2026-07-03,50163,394.8
2026-07-02,50182,480.9
2026-07-03,50182,477.9
2026-07-02,50186,502.3
2026-07-03,50186,500.1
2026-07-02,50808,530.6
2026-07-03,50808,528.2
2026-07-02,50809,527.8
2026-07-03,50809,525.5
2026-07-02,50813,431.7
2026-07-03,50813,431.4
2026-07-02,50830,501.3
2026-07-03,50830,499.0
2026-07-02,50834,508.7
2026-07-03,50834,506.8
2026-07-02,50840,510.3
2026-07-03,50840,507.9
2026-07-02,50841,507.5
2026-07-03,50841,505.0
2026-07-03,50844,505.1
2026-07-02,50845,493.1
2026-07-03,50845,490.7
2026-07-02,50848,524.7
2026-07-03,50848,521.3
2026-07-02,50849,507.7
2026-07-03,50849,505.6
2026-07-02,50851,507.0
2026-07-03,50851,503.3
2026-07-02,51125,518.9
2026-07-03,51125,516.4
2026-07-02,51131,483.2
2026-07-03,51131,480.6
2026-07-02,51133,503.9
2026-07-03,51133,501.3
2026-07-02,51135,516.9
2026-07-03,51135,513.2
2026-07-02,51136,511.8
2026-07-03,51136,509.3
2026-07-02,51137,507.0
2026-07-03,51137,504.4
2026-07-02,51139,507.8
2026-07-03,51139,505.1
2026-07-02,51141,506.5
2026-07-03,51141,503.8
2026-07-02,51146,502.7
2026-07-03,51146,498.5
2026-07-02,51152,511.5
2026-07-03,51152,509.0
2026-07-03,51729,510.4
2026-07-03,51731,509.9
2026-07-03,51732,511.2
2026-07-02,51733,508.1
2026-07-03,51733,505.7
2026-07-03,51734,505.5
2026-07-03,51735,505.5
2026-07-02,51736,499.5
2026-07-03,51736,497.2
2026-07-02,51737,506.1
2026-07-03,51737,504.0
2026-07-02,51738,502.4
2026-07-03,51738,500.1
2026-07-02,51739,510.5
2026-07-03,51739,507.5
2026-07-02,51741,503.6
2026-07-03,51741,501.4
2026-07-02,51742,506.0
2026-07-03,51742,503.7
2026-07-02,51743,509.1
2026-07-03,51743,505.1
2026-07-02,51744,505.8
2026-07-03,51744,501.9
2026-07-03,51745,506.1
2026-07-03,51746,526.6
2026-07-02,51747,502.1
2026-07-03,51747,499.9
2026-07-02,51748,503.9
2026-07-03,51748,501.7
2026-07-02,51749,497.4
2026-07-03,51749,495.1
2026-07-02,51751,501.6
2026-07-03,51751,497.8
2026-07-02,51753,504.3
2026-07-03,51753,502.3
2026-07-02,51754,512.7
2026-07-03,51754,509.0
2026-07-02,51755,504.9
2026-07-03,51755,504.9
2026-07-02,51756,506.3
2026-07-03,51756,504.1
2026-07-02,51757,504.4
2026-07-03,51757,503.6
2026-07-02,51758,507.9
2026-07-03,51758,506.6
2026-07-02,51759,504.5
2026-07-03,51759,502.3
2026-07-02,51775,373.8
2026-07-03,51775,371.8
2026-07-02,51782,472.8
2026-07-03,51782,470.4
2026-07-02,51784,477.1
2026-07-03,51784,474.7
2026-07-02,51794,278.9
2026-07-03,51794,275.5
2026-07-02,51795,501.1
2026-07-03,51795,498.9
2026-07-02,51798,481.2
2026-07-03,51798,478.9
2026-07-02,51799,479.5
2026-07-03,51799,475.8
2026-07-02,51803,475.7
2026-07-03,51803,472.8
2026-07-02,51815,488.2
2026-07-03,51815,485.2
2026-07-03,51857,502.1
2026-07-02,51881,502.1
2026-07-03,51881,498.3
2026-07-02,51883,504.3
2026-07-03,51883,500.5
2026-07-02,51889,478.6
2026-07-03,51889,476.6
2026-07-03,51892,477.4
2026-07-02,51894,477.0
2026-07-03,51894,475.0
2026-07-02,51895,476.2
2026-07-03,51895,473.9
2026-07-02,51896,501.1
2026-07-03,51896,497.4
2026-07-02,51987,476.6
2026-07-03,51987,474.3
2026-07-03,51991,484.0
2026-07-03,51992,516.5
2026-07-02,52093,475.7
2026-07-03,52093,474.5
